,epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
163,23,2020-06-03,25,MG,Estrela Dalva,3124609.0,city,10,426.80324,0,1,0,0.1,2343.0,True,False
164,23,2020-06-03,22,MG,Estrela do Sul,3124807.0,city,1,12.534469999999999,0,0,0,0.0,7978.0,True,False
165,23,2020-06-03,19,MG,Eugenópolis,3124906.0,city,4,35.47672,0,0,0,0.0,11275.0,True,False
166,23,2020-06-03,67,MG,Extrema,3125101.0,city,102,281.5735,13,3,0,0.0294,36225.0,True,False
167,23,2020-06-03,39,MG,Faria Lemos,3125309.0,city,4,123.4187,0,1,0,0.25,3241.0,True,False
168,23,2020-06-03,54,MG,Ferros,3125903.0,city,6,61.0998,0,0,0,0.0,9820.0,True,False
169,23,2020-06-03,26,MG,Fervedouro,3125952.0,city,4,36.34381,1,0,0,0.0,11006.0,True,False
170,23,2020-06-03,10,MG,Florestal,3126000.0,city,1,13.40303,0,0,0,0.0,7461.0,True,False
171,23,2020-06-03,59,MG,Formiga,3126109.0,city,21,31.02699,2,0,0,0.0,67683.0,True,False
172,23,2020-06-03,12,MG,Francisco Badaró,3126505.0,city,2,19.35734,0,0,0,0.0,10332.0,True,False
173,23,2020-06-03,3,MG,Francisco Sá,3126703.0,city,1,3.8056099999999997,0,0,0,0.0,26277.0,True,False
174,23,2020-06-03,15,MG,Frei Inocêncio,3126901.0,city,11,114.45218999999999,0,0,0,0.0,9611.0,True,False
175,23,2020-06-03,32,MG,Fronteira,3127008.0,city,1,5.52395,0,0,0,0.0,18103.0,True,False
176,23,2020-06-03,59,MG,Frutal,3127107.0,city,10,16.80785,0,1,0,0.1,59496.0,True,False
177,23,2020-06-03,51,MG,Goianá,3127388.0,city,2,50.42864,0,0,0,0.0,3966.0,True,False
178,23,2020-06-03,6,MG,Gonzaga,3127503.0,city,1,16.23904,0,0,0,0.0,6158.0,True,False
179,23,2020-06-03,14,MG,Gouveia,3127602.0,city,1,8.456660000000001,0,0,0,0.0,11825.0,True,False
180,23,2020-06-03,70,MG,Governador Valadares,3127701.0,city,213,76.10269,20,7,0,0.0329,279885.0,True,False
181,23,2020-06-03,8,MG,Grão Mogol,3127800.0,city,1,6.31473,0,0,0,0.0,15836.0,True,False
182,23,2020-06-03,19,MG,Guanhães,3128006.0,city,3,8.74151,0,0,0,0.0,34319.0,True,False
